input,output
Salut.,Mbɔ̃ɔ̃ lá!
Hello.,Mbɔ̃ɔ̃ lá!
Mbɔ̃ɔ̃ lá!,Salut.
Mbɔ̃ɔ̃ lá!,Hello.
Salut mon frère/ma sœur.,Mbōō lá mēmmā ò!
Hello my,Mbōō lá mēmmā ò!
Mbōō lá mēmmā ò!,Salut mon frère/ma sœur.
Mbōō lá mēmmā ò!,Hello my
Comment ça va ?,Yáá mà lāhā ?
How are you?,Yáá mà lāhā ?
Yáá mà lāhā ?,Comment ça va ?
Yáá mà lāhā ?,How are you?
Ça va bien.,Yáá mànnák
I am fine.,Yáá mànnák
Yáá mànnák,Ça va bien.
Yáá mànnák,I am fine.
"Ça va bien, merci. Ça va bien, merci.","Yáá mànnák, ngă pén Ā."
"I am fine, thank","Yáá mànnák, ngă pén Ā."
"Yáá mànnák, ngă pén Ā.","Ça va bien, merci. Ça va bien, merci."
"Yáá mànnák, ngă pén Ā.","I am fine, thank"
Et toi ?,Wò yō lá ō ?
How about you?,Wò yō lá ō ?
Wò yō lá ō ?,Et toi ?
Wò yō lá ō ?,How about you?
"Je suis en santé, merci.","Ngă ntèn, ngă pén ō."
"I am in good health, thank you.","Ngă ntèn, ngă pén ō."
"Ngă ntèn, ngă pén ō.","Je suis en santé, merci."
"Ngă ntèn, ngă pén ō.","I am in good health, thank you."
Qui es-tu ?,Ŏ má wā?
Who are you?,Ŏ má wā?
Ŏ má wā?,Qui es-tu ?
Ŏ má wā?,Who are you?
Présente-toi.,Là'sì nã ò.
Introduce yourself.,Là'sì nã ò.
Là'sì nã ò.,Présente-toi.
Là'sì nã ò.,Introduce yourself.
Comment tu t'appelles? Quel est ton nom?,Zēn zo má wā?
What's your name?,Zēn zo má wā?
Zēn zo má wā?,Comment tu t'appelles? Quel est ton nom?
Zēn zo má wā?,What's your name?
Je m'appelle ... mon nom est...,Zen ză má...
My name is...,Zen ză má...
Zen ză má...,Je m'appelle ... mon nom est...
Zen ză má...,My name is...
Je m'appelle Ngèēnzhwî; mon nom est Ngèēnzhwî,Zēn zǎ má Ngèēnzhwî.
My name is Ngèēnzhwî,Zēn zǎ má Ngèēnzhwî.
Zēn zǎ má Ngèēnzhwî.,Je m'appelle Ngèēnzhwî; mon nom est Ngèēnzhwî
Zēn zǎ má Ngèēnzhwî.,My name is Ngèēnzhwî
Quel âge as-tu ?,Ô ghă ngù' sữa ? Õ ghăn ngănzā sī’ū ?
How,Ô ghă ngù' sữa ? Õ ghăn ngănzā sī’ū ?
Ô ghă ngù' sữa ? Õ ghăn ngănzā sī’ū ?,Quel âge as-tu ?
Ô ghă ngù' sữa ? Õ ghăn ngănzā sī’ū ?,How
J'ai neuf ans.,Ngăn ghăn ngănzā và'ū.
I am nine years old.,Ngăn ghăn ngănzā và'ū.
Ngăn ghăn ngănzā và'ū.,J'ai neuf ans.
Ngăn ghăn ngănzā và'ū.,I am nine years old.
"Et toi, quel âge as-tu ?","Wò yō, Ŏ ghŭ ngŭ'nzā sū’ū ?"
"And you,","Wò yō, Ŏ ghŭ ngŭ'nzā sū’ū ?"
"Wò yō, Ŏ ghŭ ngŭ'nzā sū’ū ?","Et toi, quel âge as-tu ?"
"Wò yō, Ŏ ghŭ ngŭ'nzā sū’ū ?","And you,"
J'ai 25 ans.,Ngã ghăn ngănzā ncò ti mà māmbúá.
I am 25 years,Ngã ghăn ngănzā ncò ti mà māmbúá.
Ngã ghăn ngănzā ncò ti mà māmbúá.,J'ai 25 ans.
Ngã ghăn ngănzā ncò ti mà māmbúá.,I am 25 years
Quel est ton éloge (nom honorifique) ?,Ndàà mŏ má ká?
What is your honorific name?,Ndàà mŏ má ká?
Ndàà mŏ má ká?,Quel est ton éloge (nom honorifique) ?
Ndàà mŏ má ká?,What is your honorific name?
Qui est cette personne ?,Wã béé è ?
Who is this person?,Wã béé è ?
Wã béé è ?,Qui est cette personne ?
Wã béé è ?,Who is this person?
Qui est-ce ? C'est qui ?,Wã bá ā?
Who is it?,Wã bá ā?
Wã bá ā?,Qui est-ce ? C'est qui ?
Wã bá ā?,Who is it?
Qui est-il/elle ?,Ă má wā?
Who is he/she?,Ă má wā?
Ă má wā?,Qui est-il/elle ?
Ă má wā?,Who is he/she?
C'est mon ami(e).,Sēn à bá.
He/She is my friend.,Sēn à bá.
Sēn à bá.,C'est mon ami(e).
Sēn à bá.,He/She is my friend.
Il/elle est mon ami(e).,Ă má sẽn à.
He/she is my friend.,Ă má sẽn à.
Ă má sẽn à.,Il/elle est mon ami(e).
Ă má sẽn à.,He/she is my friend.
Comment s'appelle ton ami ?,Zén sẽn ŏ má wā?
What is your,Zén sẽn ŏ má wā?
Zén sẽn ŏ má wā?,Comment s'appelle ton ami ?
Zén sẽn ŏ má wā?,What is your
Comment s'appelle-t-il/elle ?,Zēn zì má wā?
What's his/her,Zēn zì má wā?
Zēn zì má wā?,Comment s'appelle-t-il/elle ?
Zēn zì má wā?,What's his/her
Mon ami s'appelle Yámānì.,Zén sẽn ǎ má Yámānì.
My friend's name is Yámānì.,Zén sẽn ǎ má Yámānì.
Zén sẽn ǎ má Yámānì.,Mon ami s'appelle Yámānì.
Zén sẽn ǎ má Yámānì.,My friend's name is Yámānì.
As-tu des amis ?,Ŏ ghй nsen?
