fe,fr,en
Mbɔ̃ɔ̃ lá!,Salut.,Hello.
Mbōō lá mēmmā ò!,Salut mon frère/ma sœur.,Hello my
Yáá mà lāhā ?,Comment ça va ?,How are you?
Yáá mànnák,Ça va bien.,I am fine.
"Yáá mànnák, ngă pén Ā.","Ça va bien, merci. Ça va bien, merci.","I am fine, thank"
Wò yō lá ō ?,Et toi ?,How about you?
"Ngă ntèn, ngă pén ō.","Je suis en santé, merci.","I am in good health, thank you."
Ŏ má wā?,Qui es-tu ?,Who are you?
Là'sì nã ò.,Présente-toi.,Introduce yourself.
Zēn zo má wā?,Comment tu t'appelles? Quel est ton nom?,What's your name?
Zen ză má...,Je m'appelle ... mon nom est...,My name is...
Zēn zǎ má Ngèēnzhwî.,Je m'appelle Ngèēnzhwî; mon nom est Ngèēnzhwî,My name is Ngèēnzhwî
Ô ghă ngù' sữa ? Õ ghăn ngănzā sī’ū ?,Quel âge as-tu ?,How
Ngăn ghăn ngănzā và'ū.,J'ai neuf ans.,I am nine years old.
"Wò yō, Ŏ ghŭ ngŭ'nzā sū’ū ?","Et toi, quel âge as-tu ?","And you,"
Ngã ghăn ngănzā ncò ti mà māmbúá.,J'ai 25 ans.,I am 25 years
Ndàà mŏ má ká?,Quel est ton éloge (nom honorifique) ?,What is your honorific name?
Wã béé è ?,Qui est cette personne ?,Who is this person?
Wã bá ā?,Qui est-ce ? C'est qui ?,Who is it?
Ă má wā?,Qui est-il/elle ?,Who is he/she?
Sēn à bá.,C'est mon ami(e).,He/She is my friend.
Ă má sẽn à.,Il/elle est mon ami(e).,He/she is my friend.
Zén sẽn ŏ má wā?,Comment s'appelle ton ami ?,What is your
Zēn zì má wā?,Comment s'appelle-t-il/elle ?,What's his/her
Zén sẽn ǎ má Yámānì.,Mon ami s'appelle Yámānì.,My friend's name is Yámānì.
Ŏ ghй nsen?,As-tu des amis ?,Do you have friends?
Ngă ghăn tà' sẽn.,J'ai un ami.,I have a friend.
Zēn zỉ má Mfìènkàk.,Il s'appelle Mfìènkàk.,His name is
Ngă ghǎ tà' sẽn yì mbâ'.,J'ai un ami garçon.,I have a male
Ngă ghǎ tà' sẽn yì mùnzhwiē.,J'ai une amie fille.,I have a
Ngã ghủ tà' sẽn vì mba' pí tà' sẽn vì mànzhwiē.,J'ai un ami garçon et une amie fille.,I have a male friend and a female friend.
Pí,Et,And
Pí wā ?,Avec qui ?,With whom?
Pí ká?,Avec quoi ?,With what?
Pí mù.,Avec moi.,With me.
Ă sà' pí wā?,Avec qui est-elle venue?,With whom did she
Ă sà' pí ká?,Avec quoi est-elle venue?,What did she come with?
Ă sà' pí mbàà.,Elle est venue avec la viande.,She came with
Nzén nsēn mbŏ má wā ?,Comment s'appellent tes amis ?,What
Nzẽn yàá má ...,Ils s'appellent ...,Their name are ...
Ŏ zhí zen zì ?,Connais-tu son nom?,Do you know his name?
"Ngǎ', ǹ ka' zhi zen ză bă.","Non, je ne connais pas son nom.","No, I don't know his name."
"Ngǎ' nā à, ză!","Non, pas du tout.",Not at all.
"nh, ngă zhí.","Oui, je sais.","Yes, I know."
"Ngǎ', ǹ kà' zhi bā.","Non, je ne sais pas.","No, I don't know."
"Ngă kwà' fà'á, ngă kwà má fjh.",Je crois que oui.,I think so.
"N ka' kwá' bā, ǹ ka' kwá' fà'á.",Je ne crois pas.,I don't think so.
Ngă ghǎ póómā kwà.,J'ai quatre frères et sœurs.,I have four siblings.
Ŏnká' nsen?,Aimes-tu les amis ?,Do you like friends?
N si' nkwé' nsen bā.,Je n'aime pas les amis.,I do not like friends.
"Mbà nèhẽ, mbà mēnsàà.","Même pas un peu, pas du tout.","Not even a little, not at all."
N ka' kwé' mbàà mbà nèhē.,Je n'aime du tout pas la viande.,I don't like meat at all.
Ŏ ghǎ sähndó ó?,As-tu un ordinateur ?,Do you have a
Ih ! Ngă ghǎ sähndó'.,Oui j'ai un ordinateur.,"Yes, I have a computer."
jh bâ! Ngă ghǎ yāā.,Bien sûr ! J'ai ça.,Of course! I have it.
Ná nzá ngǎ'è lè mbàwālá ghù mbúá ghй yāā.,"De nos jours, chacun devrait avoir ça.",These days everyone should have it.
Ŏ ghǎ lòlò ó ? Ŏ ghu nkhănken?,As-tu un téléphone?,Do you have a phone?
Пh! Ngă ghu nkhunkèn.,Oui j'ai un téléphone.,"Yes, I have a phone."
Yää si' mfá' səǝwú mbú á bā. Yāā sï' nkōsi á ná sə̀ɔ̃wú bā.,Je n'en ai pas besoin.,I don't need it.
Mã é ghŭ ndu' ú?,Ta mère a une voiture?,Does your mother have a car?
Ŏ kwě nŭ ŋwà'nì í?,Aimes-tu l'école ?,Do you like school?
